DATE,CLOSING,WEIGHT,HYBRID_CLOSING,HYBRID_WEIGHT
18/02/16,250.5,34,68.685483871,0.2741935484
17/02/16,251.35,33,66.8915322581,0.2661290323
16/02/16,244.85,32,63.1870967742,0.2580645161
15/02/16,246.2,31,61.55,0.25
12/02/16,217.85,30,52.7056451613,0.2419354839
11/02/16,225,29,52.6209677419,0.2338709677
10/02/16,235.65,28,53.2112903226,0.2258064516
09/02/16,235.55,27,51.2891129032,0.2177419355
08/02/16,234.45,26,49.1588709677,0.2096774194
05/02/16,234,25,47.1774193548,0.2016129032
04/02/16,226.15,24,43.7709677419,0.1935483871
03/02/16,224,23,41.5483870968,0.185483871
02/02/16,231.5,22,41.0725806452,0.1774193548
01/02/16,249.4,21,42.2370967742,0.1693548387
29/01/16,250.05,20,40.3306451613,0.1612903226
28/01/16,254.4,19,38.9806451613,0.1532258065
27/01/16,257.55,18,37.3862903226,0.1451612903
25/01/16,253.85,17,34.802016129,0.1370967742
22/01/16,247.1,16,31.8838709677,0.1290322581
21/01/16,234.55,15,28.372983871,0.1209677419
20/01/16,231.7,14,26.1596774194,0.1129032258
19/01/16,237.95,13,24.9463709677,0.1048387097
18/01/16,236.25,12,22.8629032258,0.0967741935
15/01/16,229.9,11,20.3943548387,0.0887096774
14/01/16,238.7,10,19.25,0.0806451613
13/01/16,247,9,17.9274193548,0.0725806452
12/01/16,246.35,8,15.8935483871,0.064516129
11/01/16,252,7,14.2258064516,0.0564516129
08/01/16,253.7,6,12.2758064516,0.0483870968
07/01/16,250.1,5,10.0846774194,0.0403225806
06/01/16,268.5,4,8.6612903226,0.0322580645
05/01/16,274.1,3,6.6314516129,0.0241935484
04/01/16,257,2,4.1451612903,0.0161290323
01/01/16,257.3,1,2.075,0.0080645161
